FINCoS Performance Log File.
Generated from:
 "/Users/ares161/eclipse-workspace/TFM FINCoS/log/SINK01.log" [Tue Jun 16 21:08:09 CEST 2020] to [Tue Jun 16 21:19:08 CEST 2020]
log file(s).
Timestamp,Server,Stream,Avg_Throughput,Min_Throughput,Max_Throughput,Last_Throughput,Avg_RT,Min_RT,Max_RT,Stdev_RT,Last_RT
1592334511000,Esper (sample),StockAvg2(output),400.273,50.000,750.000,750.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334512000,Esper (sample),StockAvg(output),208.478,26.000,391.000,391.000,0.044,0.002,6.618,0.113,0.099
1592334512000,Esper (sample),StockAvg2(output),416.870,50.000,782.000,782.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334513000,Esper (sample),StockAvg(output),216.833,26.000,409.000,409.000,0.042,0.002,6.618,0.108,0.024
1592334513000,Esper (sample),StockAvg2(output),433.583,50.000,818.000,818.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334514000,Esper (sample),StockAvg(output),225.160,26.000,425.000,425.000,0.041,0.002,6.618,0.104,0.027
1592334514000,Esper (sample),StockAvg2(output),450.240,50.000,850.000,850.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334515000,Esper (sample),StockAvg(output),233.500,26.000,442.000,442.000,0.040,0.002,6.618,0.101,0.014
1592334515000,Esper (sample),StockAvg2(output),466.923,50.000,884.000,884.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334516000,Esper (sample),StockAvg(output),241.815,26.000,458.000,458.000,0.039,0.002,6.618,0.098,0.022
1592334516000,Esper (sample),StockAvg2(output),483.556,50.000,916.000,916.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334517000,Esper (sample),StockAvg(output),250.143,26.000,475.000,475.000,0.037,0.001,6.618,0.095,0.027
1592334517000,Esper (sample),StockAvg2(output),500.214,50.000,950.000,950.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334518000,Esper (sample),StockAvg(output),258.448,26.000,491.000,491.000,0.036,0.001,6.618,0.092,0.012
1592334518000,Esper (sample),StockAvg2(output),516.828,50.000,982.000,982.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334519000,Esper (sample),StockAvg(output),266.767,26.000,508.000,508.000,0.034,0.001,6.618,0.089,0.010
1592334519000,Esper (sample),StockAvg2(output),533.467,50.000,1016.000,1016.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334520000,Esper (sample),StockAvg(output),275.097,26.000,525.000,525.000,0.033,0.001,6.618,0.087,0.015
1592334520000,Esper (sample),StockAvg2(output),550.129,50.000,1050.000,1050.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334521000,Esper (sample),StockAvg(output),283.438,26.000,542.000,542.000,0.032,0.001,6.618,0.084,0.010
1592334521000,Esper (sample),StockAvg2(output),566.812,50.000,1084.000,1084.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334522000,Esper (sample),StockAvg(output),291.758,26.000,558.000,558.000,0.031,0.001,6.618,0.082,0.007
1592334522000,Esper (sample),StockAvg2(output),583.455,50.000,1116.000,1116.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334523000,Esper (sample),StockAvg(output),300.088,26.000,575.000,575.000,0.030,0.001,6.618,0.080,0.009
1592334523000,Esper (sample),StockAvg2(output),600.118,50.000,1150.000,1150.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334524000,Esper (sample),StockAvg(output),308.429,26.000,592.000,592.000,0.029,0.001,6.618,0.078,0.006
1592334524000,Esper (sample),StockAvg2(output),616.800,50.000,1184.000,1184.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334525000,Esper (sample),StockAvg(output),316.722,26.000,607.000,607.000,0.028,0.001,6.618,0.076,0.010
1592334525000,Esper (sample),StockAvg2(output),633.389,50.000,1214.000,1214.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334526000,Esper (sample),StockAvg(output),325.081,26.000,626.000,626.000,0.027,0.001,6.618,0.074,0.009
1592334526000,Esper (sample),StockAvg2(output),650.108,50.000,1252.000,1252.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334527000,Esper (sample),StockAvg(output),333.368,26.000,640.000,640.000,0.027,0.001,6.618,0.074,0.013
1592334527000,Esper (sample),StockAvg2(output),636.211,50.000,1252.000,122.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334528000,Esper (sample),StockAvg(output),341.718,26.000,659.000,659.000,0.026,0.001,6.618,0.072,0.004
1592334528000,Esper (sample),StockAvg2(output),619.897,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334529000,Esper (sample),StockAvg(output),350.050,26.000,675.000,675.000,0.025,0.001,6.618,0.071,0.010
1592334529000,Esper (sample),StockAvg2(output),604.400,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334530000,Esper (sample),StockAvg(output),358.366,26.000,691.000,691.000,0.024,0.001,6.618,0.070,0.008
1592334530000,Esper (sample),StockAvg2(output),589.659,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334531000,Esper (sample),StockAvg(output),366.667,26.000,707.000,707.000,0.024,0.001,6.618,0.069,0.007
1592334531000,Esper (sample),StockAvg2(output),575.619,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334532000,Esper (sample),StockAvg(output),375.023,26.000,726.000,726.000,0.023,0.001,6.618,0.067,0.014
1592334532000,Esper (sample),StockAvg2(output),562.233,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334533000,Esper (sample),StockAvg(output),383.341,26.000,741.000,741.000,0.023,0.001,6.618,0.066,0.019
1592334533000,Esper (sample),StockAvg2(output),549.455,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334534000,Esper (sample),StockAvg(output),391.667,26.000,758.000,758.000,0.022,0.001,6.618,0.065,0.033
1592334534000,Esper (sample),StockAvg2(output),537.244,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334535000,Esper (sample),StockAvg(output),400.000,26.000,775.000,775.000,0.022,0.001,6.618,0.064,0.009
1592334535000,Esper (sample),StockAvg2(output),525.565,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334536000,Esper (sample),StockAvg(output),408.298,26.000,790.000,790.000,0.021,0.001,6.618,0.063,0.007
1592334536000,Esper (sample),StockAvg2(output),514.383,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334537000,Esper (sample),StockAvg(output),416.646,26.000,809.000,809.000,0.021,0.001,6.618,0.063,0.007
1592334537000,Esper (sample),StockAvg2(output),503.667,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334538000,Esper (sample),StockAvg(output),424.980,26.000,825.000,825.000,0.021,0.001,6.618,0.062,0.009
1592334538000,Esper (sample),StockAvg2(output),493.388,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334539000,Esper (sample),StockAvg(output),433.300,26.000,841.000,841.000,0.020,0.001,6.618,0.061,0.007
1592334539000,Esper (sample),StockAvg2(output),483.520,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334540000,Esper (sample),StockAvg(output),441.627,26.000,858.000,858.000,0.020,0.001,6.618,0.060,0.006
1592334540000,Esper (sample),StockAvg2(output),474.039,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334541000,Esper (sample),StockAvg(output),449.942,26.000,874.000,874.000,0.019,0.001,6.618,0.059,0.007
1592334541000,Esper (sample),StockAvg2(output),464.923,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334542000,Esper (sample),StockAvg(output),458.264,26.000,891.000,891.000,0.019,0.001,6.618,0.058,0.011
1592334542000,Esper (sample),StockAvg2(output),456.151,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334543000,Esper (sample),StockAvg(output),466.574,26.000,907.000,907.000,0.019,0.001,6.618,0.057,0.027
1592334543000,Esper (sample),StockAvg2(output),447.704,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334544000,Esper (sample),StockAvg(output),474.927,26.000,926.000,926.000,0.018,0.001,6.618,0.057,0.009
1592334544000,Esper (sample),StockAvg2(output),439.564,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334545000,Esper (sample),StockAvg(output),483.250,26.000,941.000,941.000,0.018,0.001,6.618,0.056,0.009
1592334545000,Esper (sample),StockAvg2(output),431.714,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334546000,Esper (sample),StockAvg(output),491.579,26.000,958.000,958.000,0.018,0.001,6.618,0.055,0.136
1592334546000,Esper (sample),StockAvg2(output),424.140,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334547000,Esper (sample),StockAvg(output),499.897,26.000,974.000,974.000,0.018,0.001,6.618,0.054,0.008
1592334547000,Esper (sample),StockAvg2(output),416.828,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334548000,Esper (sample),StockAvg(output),508.220,26.000,991.000,991.000,0.017,0.001,6.618,0.053,0.005
1592334548000,Esper (sample),StockAvg2(output),409.763,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334549000,Esper (sample),StockAvg(output),516.400,26.000,999.000,999.000,0.017,0.001,6.618,0.053,0.007
1592334549000,Esper (sample),StockAvg2(output),402.933,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334550000,Esper (sample),StockAvg(output),524.328,26.000,1000.000,1000.000,0.017,0.001,6.618,0.052,0.015
1592334550000,Esper (sample),StockAvg2(output),396.328,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334551000,Esper (sample),StockAvg(output),532.000,26.000,1000.000,1000.000,0.017,0.001,6.618,0.052,0.022
1592334551000,Esper (sample),StockAvg2(output),389.935,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334552000,Esper (sample),StockAvg(output),539.429,26.000,1000.000,1000.000,0.017,0.001,6.618,0.051,0.009
1592334552000,Esper (sample),StockAvg2(output),383.746,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334553000,Esper (sample),StockAvg(output),546.625,26.000,1000.000,1000.000,0.017,0.001,6.618,0.051,0.057
1592334553000,Esper (sample),StockAvg2(output),377.750,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334554000,Esper (sample),StockAvg(output),553.600,26.000,1000.000,1000.000,0.017,0.001,6.618,0.050,0.016
1592334554000,Esper (sample),StockAvg2(output),371.938,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334555000,Esper (sample),StockAvg(output),560.364,26.000,1000.000,1000.000,0.017,0.001,6.618,0.049,0.008
1592334555000,Esper (sample),StockAvg2(output),366.303,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334556000,Esper (sample),StockAvg(output),566.925,26.000,1000.000,1000.000,0.016,0.001,6.618,0.049,0.010
1592334556000,Esper (sample),StockAvg2(output),360.836,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334557000,Esper (sample),StockAvg(output),573.294,26.000,1000.000,1000.000,0.016,0.001,6.618,0.048,0.007
1592334557000,Esper (sample),StockAvg2(output),355.529,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334558000,Esper (sample),StockAvg(output),579.464,26.000,1000.000,999.000,0.016,0.001,6.618,0.048,0.221
1592334558000,Esper (sample),StockAvg2(output),350.377,0.000,1252.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
