FINCoS,Performance,Log,File.,,,,,,,,,,,
Generated,from:,,,,,,,,,,,,,
,/Users/ares161/eclipse-workspace/TFM FINCoS/log/SINK02.log,[Thu,Aug,27,17:43:49,CEST,2020],to,[Thu,Aug,27,17:45:28,CEST,2020]
log,file(s).,,,,,,,,,,,,,
Timestamp,Server,,Stream,Avg_Throughput,Min_Throughput,Max_Throughput,Last_Throughput,Avg_RT,Min_RT,Max_RT,Stdev_RT,Last_RT,,
1598543090000,Siddhi,(Sample),Prueba(output),307951,4000,635000,635000,24,0,6161,116,8,,
1598543091000,Siddhi,(Sample),Prueba(output),312935,4000,635000,617000,24,0,6161,122,6,,
1598543092000,Siddhi,(Sample),Prueba(output),317921,4000,635000,627000,23,0,6161,120,8,,
1598543093000,Siddhi,(Sample),Prueba(output),322922,4000,638000,638000,23,0,6161,119,7,,
1598543094000,Siddhi,(Sample),Prueba(output),327908,4000,647000,647000,22,0,6161,117,17,,
1598543095000,Siddhi,(Sample),Prueba(output),332909,4000,658000,658000,22,0,7240,126,6,,
1598543096000,Siddhi,(Sample),Prueba(output),337925,4000,669000,669000,22,0,7240,124,9,,
1598543097000,Siddhi,(Sample),Prueba(output),342912,4000,677000,677000,22,0,7240,122,6,,
1598543098000,Siddhi,(Sample),Prueba(output),347913,4000,688000,688000,21,0,7240,121,7,,
1598543099000,Siddhi,(Sample),Prueba(output),352886,4000,696000,696000,21,0,7240,119,8,,
1598543100000,Siddhi,(Sample),Prueba(output),357887,4000,708000,708000,20,0,7240,118,9,,
1598543101000,Siddhi,(Sample),Prueba(output),362903,4000,719000,719000,20,0,7240,117,5,,
1598543102000,Siddhi,(Sample),Prueba(output),367904,4000,728000,728000,20,0,7240,116,25,,
1598543103000,Siddhi,(Sample),Prueba(output),372824,4000,732000,732000,20,0,7240,115,2,,
1598543104000,Siddhi,(Sample),Prueba(output),377880,4000,752000,752000,20,0,8152,123,7,,
1598543105000,Siddhi,(Sample),Prueba(output),382882,4000,758000,758000,19,0,8152,122,7,,
