FINCoS,Performance,Log,File.,,,,,,,,,,,,,
Generated,from:,,,,,,,,,,,,,,,
,/Users/ares161/eclipse-workspace/TFM FINCoS/log/SINK02.log,[Tue,Jun,16,21:08:09,CEST,2020],to,[Tue,Jun,16,21:09:48,CEST,2020],,
log,file(s).,,,,,,,,,,,,,,,
Timestamp,Server,Stream,Avg_Throughput,Min_Throughput,Max_Throughput,Last_Throughput,Avg_RT,Min_RT,Max_RT,Stdev_RT,Last_RT,,,,Timestamp,Avg_RT
1592334544000,Esper,(sample),Prueba(output),285345,16000,555000,555000,19,1,976,33,15,,,1592334544000,555000
1592334545000,Esper,(sample),Prueba(output),290339,16000,565000,565000,19,1,976,32,0,,,1592334545000,565000
1592334546000,Esper,(sample),Prueba(output),295333,16000,575000,575000,19,1,976,32,12,,,1592334546000,575000
1592334547000,Esper,(sample),Prueba(output),300328,16000,585000,585000,18,1,976,32,0,,,1592334547000,585000
1592334548000,Esper,(sample),Prueba(output),305322,16000,595000,595000,18,1,976,32,12,,,1592334548000,595000
1592334549000,Esper,(sample),Prueba(output),310317,16000,605000,605000,18,1,976,31,0,,,1592334549000,605000
1592334550000,Esper,(sample),Prueba(output),315328,16000,616000,616000,18,1,976,32,37,,,1592334550000,616000
1592334551000,Esper,(sample),Prueba(output),320323,16000,625000,625000,18,1,976,32,0,,,1592334551000,625000
1592334552000,Esper,(sample),Prueba(output),325317,16000,635000,635000,18,1,976,32,15,,,1592334552000,635000
1592334553000,Esper,(sample),Prueba(output),330312,16000,645000,645000,18,1,976,31,0,,,1592334553000,645000
1592334554000,Esper,(sample),Prueba(output),335308,16000,655000,655000,18,1,976,31,10,,,1592334554000,655000
1592334555000,Esper,(sample),Prueba(output),340303,16000,665000,665000,18,1,976,31,0,,,1592334555000,665000
1592334556000,Esper,(sample),Prueba(output),345299,16000,675000,675000,18,1,976,30,116,,,1592334556000,675000
1592334557000,Esper,(sample),Prueba(output),350279,16000,684000,684000,17,1,976,30,0,,,1592334557000,684000
1592334558000,Esper,(sample),Prueba(output),355275,16000,695000,695000,17,1,1059,30,40,,,1592334558000,695000
1592334559000,Esper,(sample),Prueba(output),360271,16000,705000,705000,17,1,1059,30,0,,,1592334559000,705000
1592334560000,Esper,(sample),Prueba(output),365268,16000,715000,715000,17,1,1059,30,10,,,1592334560000,715000
1592334561000,Esper,(sample),Prueba(output),370250,16000,724000,724000,17,1,1059,30,0,,,1592334561000,724000
1592334562000,Esper,(sample),Prueba(output),375247,16000,735000,735000,17,1,1059,29,27,,,1592334562000,735000
1592334563000,Esper,(sample),Prueba(output),380257,16000,746000,746000,16,1,1059,29,0,,,1592334563000,746000
1592334564000,Esper,(sample),Prueba(output),385240,16000,754000,754000,16,1,7761,54,7,,,1592334564000,754000
1592334565000,Esper,(sample),Prueba(output),390250,16000,766000,766000,16,1,7761,53,0,,,1592334565000,766000
1592334566000,Esper,(sample),Prueba(output),395247,16000,775000,775000,16,1,7761,53,9,,,1592334566000,775000
1592334567000,Esper,(sample),Prueba(output),400244,16000,785000,785000,16,1,7761,52,0,,,1592334567000,785000
1592334568000,Esper,(sample),Prueba(output),405228,16000,794000,794000,16,1,9775,75,8,,,1592334568000,794000
1592334569000,Esper,(sample),Prueba(output),410225,16000,805000,805000,16,1,9775,74,0,,,1592334569000,805000
1592334570000,Esper,(sample),Prueba(output),415210,16000,814000,814000,16,1,9775,73,8,,,1592334570000,814000
1592334571000,Esper,(sample),Prueba(output),420220,16000,826000,826000,16,1,9775,72,0,,,1592334571000,826000
1592334572000,Esper,(sample),Prueba(output),425217,16000,835000,835000,16,1,9775,76,12,,,1592334572000,835000
1592334573000,Esper,(sample),Prueba(output),430202,16000,844000,844000,16,1,9775,75,0,,,1592334573000,844000
1592334574000,Esper,(sample),Prueba(output),435188,16000,854000,854000,16,1,9775,80,32,,,1592334574000,854000
1592334575000,Esper,(sample),Prueba(output),440198,16000,866000,866000,15,1,9775,79,0,,,1592334575000,866000
1592334576000,Esper,(sample),Prueba(output),445195,16000,875000,875000,15,1,9775,78,28,,,1592334576000,875000
1592334577000,Esper,(sample),Prueba(output),450193,16000,885000,885000,15,1,9775,78,0,,,1592334577000,885000
1592334578000,Esper,(sample),Prueba(output),455180,16000,894000,894000,15,1,9775,77,7,,,1592334578000,894000
1592334579000,Esper,(sample),Prueba(output),460167,16000,904000,904000,15,1,9775,76,0,,,1592334579000,904000
1592334580000,Esper,(sample),Prueba(output),465176,16000,916000,916000,15,1,9775,75,17,,,1592334580000,916000
1592334581000,Esper,(sample),Prueba(output),470163,16000,924000,924000,15,1,9775,74,0,,,1592334581000,924000
1592334582000,Esper,(sample),Prueba(output),475161,16000,935000,935000,15,1,9775,74,5,,,1592334582000,935000
1592334583000,Esper,(sample),Prueba(output),480160,16000,945000,945000,15,1,9775,73,0,,,1592334583000,945000
1592334584000,Esper,(sample),Prueba(output),485158,16000,955000,955000,14,1,9775,72,8,,,1592334584000,955000
1592334585000,Esper,(sample),Prueba(output),490146,16000,964000,964000,15,1,9775,74,0,,,1592334585000,964000
1592334586000,Esper,(sample),Prueba(output),495144,16000,975000,975000,14,1,9775,74,9,,,1592334586000,975000
1592334587000,Esper,(sample),Prueba(output),500143,16000,985000,985000,14,1,9775,73,0,,,1592334587000,985000
1592334588000,Esper,(sample),Prueba(output),505131,16000,994000,994000,14,1,9775,72,9,,,1592334588000,994000
1592334490000,Esper,(sample),Prueba2(output),30000,30000,30000,30000,0,"9,22337203685478E+021",0,0,0,,,1592334490000,30000
1592334491000,Esper,(sample),Prueba2(output),41000,30000,52000,52000,0,"9,22337203685478E+021",0,0,8,,,1592334491000,52000
1592334492000,Esper,(sample),Prueba2(output),50667,30000,70000,70000,0,"9,22337203685478E+021",0,0,0,,,1592334492000,70000
1592334493000,Esper,(sample),Prueba2(output),61000,30000,92000,92000,0,"9,22337203685478E+021",0,0,7,,,1592334493000,92000
1592334494000,Esper,(sample),Prueba2(output),70800,30000,110000,110000,0,"9,22337203685478E+021",0,0,0,,,1592334494000,110000
