Timestamp,Siddhi,Avg_Throughput,,,
1599420499000,AirQualityLevel(output),14999907,,,
1599420498000,AirQualityLevel(output),15036662,,,
1599420497000,AirQualityLevel(output),15073597,,,
1599420496000,AirQualityLevel(output),15110714,,,
1599420495000,AirQualityLevel(output),15148015,,,
1599420494000,AirQualityLevel(output),15185500,,,
1599420493000,AirQualityLevel(output),15223171,,,
1599420492000,AirQualityLevel(output),15261030,,,
1599420491000,AirQualityLevel(output),15299077,,,
1599420490000,AirQualityLevel(output),15337315,,,
1599420489000,AirQualityLevel(output),15375744,,,
1599420488000,AirQualityLevel(output),15414367,,,
1599420487000,AirQualityLevel(output),15453184,,,
1599420486000,AirQualityLevel(output),15492197,,,
1599420485000,AirQualityLevel(output),15531408,,,
1599420484000,AirQualityLevel(output),15570817,,,
1599420483000,AirQualityLevel(output),15610427,,,
1599420482000,AirQualityLevel(output),15650240,,,
1599420481000,AirQualityLevel(output),15690256,,,
1599420480000,AirQualityLevel(output),15730477,,,
1599420479000,AirQualityLevel(output),15770905,,,
1599420478000,AirQualityLevel(output),15811541,,,
1599420477000,AirQualityLevel(output),15852388,,,
1599420476000,AirQualityLevel(output),15893446,,,
1599420475000,AirQualityLevel(output),15934717,,,
1599420474000,AirQualityLevel(output),15976203,,,
1599420473000,AirQualityLevel(output),16017906,,,
1599420472000,AirQualityLevel(output),16059827,,,
1599420471000,AirQualityLevel(output),16101969,,,
1599420470000,AirQualityLevel(output),16144332,,,
1599420469000,AirQualityLevel(output),16186918,,,
1599420468000,AirQualityLevel(output),16229730,,,
1599420467000,AirQualityLevel(output),16272769,,,
1599420466000,AirQualityLevel(output),16316037,,,
1599420465000,AirQualityLevel(output),16359536,,,
1599420464000,AirQualityLevel(output),16403267,,,
1599420463000,AirQualityLevel(output),16447233,,,
1599420462000,AirQualityLevel(output),16491435,,,
1599420461000,AirQualityLevel(output),16535876,,,
1599420460000,AirQualityLevel(output),16580557,,,
1599420459000,AirQualityLevel(output),16625480,,,
1599420458000,AirQualityLevel(output),16670647,,,
1599420457000,AirQualityLevel(output),16716060,,,
1599420456000,AirQualityLevel(output),16761721,,,
1599420455000,AirQualityLevel(output),16807633,,,
1599420454000,AirQualityLevel(output),16853797,,,
1599420453000,AirQualityLevel(output),16900215,,,
1599420452000,AirQualityLevel(output),16946890,,,
1599420332000,AirQualityLevel(output),18997116,,,
1599420272000,AirQualityLevel(output),18105659,,,
1599420212000,AirQualityLevel(output),14232557,,,
1599420211000,AirQualityLevel(output),9834628,,,
1599420210000,AirQualityLevel(output),9916550,,,
1599420209000,AirQualityLevel(output),9999849,,,
1599420208000,AirQualityLevel(output),10084559,,,
1599420207000,AirQualityLevel(output),10170718,,,
1599420206000,AirQualityLevel(output),10258362,,,
1599420205000,AirQualityLevel(output),10347530,,,
1599420204000,AirQualityLevel(output),10438263,,,
1599420203000,AirQualityLevel(output),10530602,,,
1599420202000,AirQualityLevel(output),10624589,,,
1599420201000,AirQualityLevel(output),10720270,,,
1599420200000,AirQualityLevel(output),10817691,,,
1599420199000,AirQualityLevel(output),10916899,,,
1599420198000,AirQualityLevel(output),11017944,,,
1599420197000,AirQualityLevel(output),11120879,,,
1599420196000,AirQualityLevel(output),11225755,,,
1599420195000,AirQualityLevel(output),11332629,,,
1599420194000,AirQualityLevel(output),11441558,,,
1599420193000,AirQualityLevel(output),11552602,,,
1599420192000,AirQualityLevel(output),11665824,,,
1599420191000,AirQualityLevel(output),11781287,,,
1599420190000,AirQualityLevel(output),11899060,,,
1599420189000,AirQualityLevel(output),12019212,,,
1599420188000,AirQualityLevel(output),12141816,,,
1599420187000,AirQualityLevel(output),12266948,,,
1599420186000,AirQualityLevel(output),12394688,,,
1599420185000,AirQualityLevel(output),12525116,,,
1599420184000,AirQualityLevel(output),12658319,,,
1599420183000,AirQualityLevel(output),12794387,,,
1599420182000,AirQualityLevel(output),12933413,,,
1599420181000,AirQualityLevel(output),13075495,,,
1599420180000,AirQualityLevel(output),13220733,,,
1599420179000,AirQualityLevel(output),13369236,,,
1599420178000,AirQualityLevel(output),13521114,,,
1599420177000,AirQualityLevel(output),13676483,,,
1599420176000,AirQualityLevel(output),13835465,,,
1599420175000,AirQualityLevel(output),13998188,,,
1599420174000,AirQualityLevel(output),14164786,,,
1599420173000,AirQualityLevel(output),14335398,,,
1599420172000,AirQualityLevel(output),14510171,,,
1599420171000,AirQualityLevel(output),14689259,,,
1599420170000,AirQualityLevel(output),14872825,,,
1599420169000,AirQualityLevel(output),15061038,,,
1599420168000,AirQualityLevel(output),15254077,,,
1599420167000,AirQualityLevel(output),15452130,,,
1599420166000,AirQualityLevel(output),15655395,,,
1599420165000,AirQualityLevel(output),15864080,,,
1599420164000,AirQualityLevel(output),16078405,,,
1599420163000,AirQualityLevel(output),16298603,,,
1599420162000,AirQualityLevel(output),16524917,,,
1599420161000,AirQualityLevel(output),16757606,,,
1599420160000,AirQualityLevel(output),16996943,,,
1599420159000,AirQualityLevel(output),17243217,,,
1599420158000,AirQualityLevel(output),17496735,,,
1599420157000,AirQualityLevel(output),17757821,,,
1599420156000,AirQualityLevel(output),18026818,,,
1599420155000,AirQualityLevel(output),18304092,,,
1599420154000,AirQualityLevel(output),18590031,,,
1599420153000,AirQualityLevel(output),18885048,,,
1599420152000,AirQualityLevel(output),8852194,,,
1599420631000,NO2_Avg(output),3309198,,,
1599420630000,NO2_Avg(output),3315326,,,
1599420629000,NO2_Avg(output),3321477,,,
1599420628000,NO2_Avg(output),3327651,,,
1599420627000,NO2_Avg(output),3333847,,,
1599420626000,NO2_Avg(output),3340067,,,
1599420625000,NO2_Avg(output),3346310,,,
1599420624000,NO2_Avg(output),3352577,,,
1599420623000,NO2_Avg(output),3358867,,,
1599420622000,NO2_Avg(output),3365180,,,
1599420621000,NO2_Avg(output),3371518,,,
1599420620000,NO2_Avg(output),3377879,,,
1599420619000,NO2_Avg(output),3384265,,,
1599420618000,NO2_Avg(output),3390674,,,
1599420617000,NO2_Avg(output),3397108,,,
1599420616000,NO2_Avg(output),3403567,,,
1599420615000,NO2_Avg(output),3410050,,,
1599420614000,NO2_Avg(output),3416557,,,
1599420613000,NO2_Avg(output),3423090,,,
1599420612000,NO2_Avg(output),3429648,,,
1599420611000,NO2_Avg(output),3436230,,,
1599420610000,NO2_Avg(output),3442838,,,
1599420609000,NO2_Avg(output),3449472,,,
1599420608000,NO2_Avg(output),3456131,,,
1599420607000,NO2_Avg(output),3462816,,,
1599420606000,NO2_Avg(output),3469527,,,
1599420605000,NO2_Avg(output),3476264,,,
1599420604000,NO2_Avg(output),3483027,,,
1599420603000,NO2_Avg(output),3489817,,,
1599420602000,NO2_Avg(output),3496633,,,
1599420601000,NO2_Avg(output),3503476,,,
1599420600000,NO2_Avg(output),3510345,,,
1599420599000,NO2_Avg(output),3517242,,,
1599420598000,NO2_Avg(output),3524165,,,
1599420597000,NO2_Avg(output),3531116,,,
1599420596000,NO2_Avg(output),3538095,,,
1599420595000,NO2_Avg(output),3545101,,,
1599420594000,NO2_Avg(output),3552135,,,
1599420593000,NO2_Avg(output),3559197,,,
1599420592000,NO2_Avg(output),3566287,,,
1599420591000,NO2_Avg(output),3573405,,,
1599420590000,NO2_Avg(output),3580552,,,
1599420589000,NO2_Avg(output),3587727,,,
1599420588000,NO2_Avg(output),3594932,,,
1599420587000,NO2_Avg(output),3602165,,,
1599420586000,NO2_Avg(output),3609427,,,
1599420585000,NO2_Avg(output),3616719,,,
1599420584000,NO2_Avg(output),3624040,,,
1599420583000,NO2_Avg(output),3631391,,,
1599420582000,NO2_Avg(output),3638772,,,
1599420581000,NO2_Avg(output),3646183,,,
1599420580000,NO2_Avg(output),3653624,,,
1599420579000,NO2_Avg(output),3661096,,,
1599420578000,NO2_Avg(output),3668598,,,
1599420577000,NO2_Avg(output),3676131,,,
1599420576000,NO2_Avg(output),3683695,,,
1599420575000,NO2_Avg(output),3691291,,,
1599420574000,NO2_Avg(output),3698917,,,
1599420573000,NO2_Avg(output),3706576,,,
1599420572000,NO2_Avg(output),3714266,,,
1599420571000,NO2_Avg(output),3640773,,,
1599420570000,NO2_Avg(output),3648358,,,
1599420569000,NO2_Avg(output),3655975,,,
1599420568000,NO2_Avg(output),3663623,,,
1599420567000,NO2_Avg(output),3671304,,,
1599420566000,NO2_Avg(output),3679017,,,
1599420565000,NO2_Avg(output),3686762,,,
1599420564000,NO2_Avg(output),3694540,,,
1599420563000,NO2_Avg(output),3702351,,,
1599420562000,NO2_Avg(output),3710195,,,
1599420561000,NO2_Avg(output),3718072,,,
1599420560000,NO2_Avg(output),3725983,,,
1599420559000,NO2_Avg(output),3733928,,,
1599420558000,NO2_Avg(output),3741906,,,
1599420557000,NO2_Avg(output),3749919,,,
1599420556000,NO2_Avg(output),3757966,,,
1599420555000,NO2_Avg(output),3766047,,,
1599420554000,NO2_Avg(output),3774164,,,
1599420553000,NO2_Avg(output),3782315,,,
1599420552000,NO2_Avg(output),3790502,,,
1599420551000,NO2_Avg(output),3798725,,,
1599420550000,NO2_Avg(output),3806983,,,
1599420549000,NO2_Avg(output),3815277,,,
1599420548000,NO2_Avg(output),3823607,,,
1599420547000,NO2_Avg(output),3831974,,,
1599420546000,NO2_Avg(output),3840377,,,
1599420545000,NO2_Avg(output),3848818,,,
1599420544000,NO2_Avg(output),3857295,,,
1599420543000,NO2_Avg(output),3865810,,,
1599420542000,NO2_Avg(output),3874363,,,
1599420541000,NO2_Avg(output),3882953,,,
1599420540000,NO2_Avg(output),3891582,,,
1599420539000,NO2_Avg(output),3900249,,,
1599420538000,NO2_Avg(output),3908955,,,
1599420537000,NO2_Avg(output),3917700,,,
1599420536000,NO2_Avg(output),3926484,,,
1599420535000,NO2_Avg(output),3935308,,,
1599420534000,NO2_Avg(output),3944171,,,
1599420533000,NO2_Avg(output),3953074,,,
1599420532000,NO2_Avg(output),3962018,,,
1599420531000,NO2_Avg(output),3971002,,,
1599420530000,NO2_Avg(output),3980027,,,
1599420529000,NO2_Avg(output),3989093,,,
1599420528000,NO2_Avg(output),3998201,,,
1599420527000,NO2_Avg(output),4007350,,,
1599420526000,NO2_Avg(output),4016541,,,
1599420525000,NO2_Avg(output),4025775,,,
1599420524000,NO2_Avg(output),4035051,,,
1599420523000,NO2_Avg(output),4044370,,,
1599420522000,NO2_Avg(output),4053731,,,
1599420521000,NO2_Avg(output),4063137,,,
1599420520000,NO2_Avg(output),4072586,,,
1599420519000,NO2_Avg(output),4082079,,,
1599420518000,NO2_Avg(output),4091617,,,
1599420517000,NO2_Avg(output),4101199,,,
1599420516000,NO2_Avg(output),4110826,,,
1599420515000,NO2_Avg(output),4120499,,,
1599420514000,NO2_Avg(output),4130217,,,
1599420513000,NO2_Avg(output),4139981,,,
1599420512000,NO2_Avg(output),4149791,,,
1599420511000,NO2_Avg(output),3880147,,,
1599420510000,NO2_Avg(output),3889386,,,
1599420509000,NO2_Avg(output),3898668,,,
1599420508000,NO2_Avg(output),3907995,,,
1599420507000,NO2_Avg(output),3917367,,,
1599420506000,NO2_Avg(output),3926784,,,
